Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
14300,SUOX,SUOX,grey,yellow,0.086603449,0.091993617,-0.005390168,0.45335686,SUOX,250.616620543469,-0.068987699507292,-0.0806203388583798,0.145424166046072,-0.474389514363355,0.63522216899565,0.894925838565391
14301,SUPT16H,SUPT16H,grey,grey60,0.184801347,0.307365779,-0.122564432,0.882859085,SUPT16H,948.809308383909,-0.0461922608926277,-0.0481298237757774,0.0813568122686774,-0.567773731597051,0.570188618787296,0.871220136626057
14302,SUPT16HP1,SUPT16HP1,grey,blue,0.139287874,0.161601059,-0.022313185,1.012903157,SUPT16HP1,49.3028442749148,-0.108478832833732,-0.114937794195445,0.0952569744575956,-1.13880199797887,0.254785748288591,0.658923211874821
14303,SUPT20H,SUPT20H,green,blue,0.181723122,0.197297815,-0.015574693,-0.480914032,SUPT20H,822.259896506106,0.0422359501129226,0.0449523945972059,0.0986281439746479,0.428234258608569,0.668480576584897,0.907092154793499
14309,SUPV3L1,SUPV3L1,grey,grey,0.122714911,0.056253089,0.066461822,-2.700460955,SUPV3L1,128.235105667772,0.357440160931743,0.412284345561351,0.14061949346637,2.5418962344451,0.0110252899769006,0.117103315616248
14314,SUSD1,SUSD1,grey,grey,0.069346888,0.030519345,0.038827543,-2.229472705,SUSD1,693.909116683806,0.212232841943494,0.229800404034188,0.110003394755698,1.92932993036108,0.0536899163339565,0.318097501461552
14315,SUSD3,SUSD3,grey,purple,0.104116442,0.024006368,0.080110074,-2.136276967,SUSD3,145.458975389403,0.330629935096404,0.410420391190904,0.163886420710867,2.01743337649499,0.0436503071275753,0.281486442531102
14317,SUV39H1,SUV39H1,grey,grey,0.154594572,0.032214968,0.122379604,-1.50757507,SUV39H1,66.9995562241492,0.241113816887565,0.339068549308479,0.187661930804795,1.28483073713214,0.198851438835939,0.594316742113355
14323,SVIL-AS1,SVIL-AS1,grey,blue,0.153274509,0.060732411,0.092542098,0.573741444,SVIL-AS1,175.852661197994,-0.0750388536077488,-0.0898978734675359,0.153728589721264,-0.488125557801623,0.625460909053694,0.891763030596092
14333,SYMPK,SYMPK,grey,turquoise,0.106028044,0.185297667,-0.079269623,-2.251682527,SYMPK,485.00690938013,0.185105230618525,0.195041899071066,0.0910119434610335,2.0338564761863,0.0419660683472562,0.275654285159694
14341,SYNJ2BP,SYNJ2BP,grey,magenta,0.25499102,0.032152631,0.222838389,-0.303273563,SYNJ2BP,333.802981038156,-0.00232936205007413,-0.0024804123598684,0.0989931195064161,-0.0235305449680586,0.981227073864799,0.995223782319523
14345,SYS1,SYS1,grey,turquoise,0.121375873,0.110596548,0.010779324,1.442211226,SYS1,254.974483045021,-0.170566499715208,-0.194946608361941,0.136884504852326,-1.24606141432311,0.212741849232848,0.613995469935102
